played_sample_id,hex_id,opcode_param,name,minor_group,major_group,waveset_dependency,root_note_name,root_midi_note,root_octave,is_null,repeat_tail_score,sustain_timbre_score,long_hold_risk_score,upper_mid_energy_ratio,presence_energy_ratio,high_freq_energy_ratio,mean_centroid_hz
0,00,0,Heavy Square Wave (F-4),,Synth,,F-4,53,4,0,,,,,,,
1,01,0,Empty/Silent,,Silence,,,,,1,,,,,,,
2,02,1,Telephone (A#-3),,SFX,,A#-3,46,3,0,,,,,,,
3,03,2,Fat Saw Wave-Asp (F-4),,Synth,,F-4,53,4,0,,,,,,,
4,04,3,Heavy Square Wave (F-4),,Synth,,F-4,53,4,0,,,,,,,
5,05,4,Fat Saw Wave-Asp (F-5),,Synth,,F-5,65,5,0,,,,,,,
6,06,5,Heavy Square Wave (F-5),,Synth,,F-5,65,5,0,,,,,,,
7,07,6,Tuba (C-3),,Brass,,C-3,36,3,0,0.637,0.005,0.418,,,0.0,385.6
8,08,7,Glockenspiel (A-3),,Bell/Perc,,A-3,45,3,0,,,,,,,
9,09,8,Bright Beep (C-3),,SFX,,C-3,36,3,0,,,,,,,
10,0A,9,Seashore (C-2),,Ambient,,C-2,24,2,0,,,,,,,
11,0B,10,Seashore (C-3),,Ambient,,C-3,36,3,0,,,,,,,
12,0C,11,Seashore (C-4),,Ambient,,C-4,48,4,0,,,,,,,
13,0D,12,Drum Hit + Seashore (C-3),,Percussion,,C-3,36,3,0,,,,,,,
14,0E,13,Telephone 2 (C-5),,SFX,,C-5,60,5,0,,,,,,,
15,0F,14,Explosion (C-2),,SFX,,C-2,24,2,0,,,,,,,
16,10,15,"Cymbal (A-3, Orchestra Kit)",,Percussion,,,,,0,,,,,,,
17,11,16,Telephone 2 (C-7),,SFX,,C-7,84,7,0,,,,,,,
18,12,17,Tubular Bells (C-5),,Bell/Perc,,C-5,60,5,0,,,,,,,
19,13,18,Slap Bass 2 (C-1),,Bass,,C-1,12,1,0,0.85,0.004,0.555,,,0.0,292.3
20,14,19,Slap Bass 2 (C-2),,Bass,,C-2,24,2,0,0.999,0.003,0.651,,,0.0,32.7
21,15,20,Slap Bass 2 (C-3),,Bass,,C-3,36,3,0,0.765,0.003,0.499,,,0.0,74.2
22,16,21,Slap Bass 2 (C-4),,Bass,,C-4,48,4,0,0.483,0.004,0.317,,,0.0,131.4
23,17,22,Slap Bass 2 (C-5),,Bass,,C-5,60,5,0,0.929,0.006,0.608,,,0.0,564.5
24,18,23,Trumpet (C-3),,Brass,,C-3,36,3,0,0.43,0.005,0.284,,,0.0,292.7
25,19,24,Trumpet (C-4),,Brass,,C-4,48,4,0,0.572,0.005,0.376,,,0.0,391.6
26,1A,25,Pizzicato Strings (C-3),,Strings,,C-3,36,3,0,,,,,,,
27,1B,26,"Vibraslap/Spinner (A#-3, Orchestra Kit)",,Percussion,,,,,0,,,,,,,
28,1C,27,Bassoon (C-3),,Woodwind,,C-3,36,3,0,0.697,0.011,0.462,,,0.0,1398.3
29,1D,28,Bassoon (C-4),,Woodwind,,C-4,48,4,0,0.581,0.007,0.383,,,0.0,563.8
30,1E,29,Bassoon (C-5),,Woodwind,,C-5,60,5,0,0.96,0.04,0.654,,,0.001,1099.5
31,1F,30,Machine Gun (C-5),,SFX,,C-5,60,5,0,,,,,,,
32,20,31,Synth Strings (C-2),,Strings,,C-2,24,2,0,,,,,,,
33,21,32,Synth Strings (C-4),,Strings,,C-4,48,4,0,,,,,,,
34,22,33,Synth Strings (C-4),,Strings,,C-4,48,4,0,,,,,,,
35,23,34,Synth Strings (C-5),,Strings,,C-5,60,5,0,,,,,,,
36,24,35,Synth Strings (C-6),,Strings,,C-6,72,6,0,,,,,,,
37,25,36,Synth Strings (C-7),,Strings,,C-7,84,7,0,,,,,,,
38,26,37,Fretless Bass (C-2),,Bass,,C-2,24,2,0,0.617,0.005,0.405,,,0.0,419.2
39,27,38,Fretless Bass (C-3),,Bass,,C-3,36,3,0,1.103,0.004,0.72,,,0.0,65.7
40,28,39,Fretless Bass (C-4),,Bass,,C-4,48,4,0,1.022,0.004,0.667,,,0.0,148.2
41,29,40,Fretless Bass (C-5),,Bass,,C-5,60,5,0,0.813,0.006,0.533,,,0.0,262.8
42,2A,41,Fretless Bass (C-6),,Bass,,C-6,72,6,0,0.945,0.016,0.627,,,0.004,1129.1
43,2B,42,Tuba (C-1),,Brass,,C-1,12,1,0,0.949,0.005,0.62,,,0.0,80.1
44,2C,43,Tuba (C-2),,Brass,,C-2,24,2,0,1.13,0.002,0.736,,,0.0,19.1
45,2D,44,Empty,,Silence,,,,,1,,,,,,,
46,2E,45,Bassoon (C-4),,Woodwind,,C-4,48,4,0,0.0,0.0,0.0,,,0.0,0.0
47,2F,46,Bassoon (C-5),,Woodwind,,C-5,60,5,0,0.801,0.021,0.536,,,0.0,780.8
48,30,47,Trombone (C-2),,Brass,,C-2,24,2,0,0.687,0.003,0.449,,,0.0,69.5
49,31,48,Trombone (C-3),,Brass,,C-3,36,3,0,1.409,0.006,0.92,,,0.0,112.5
50,32,49,Trombone (C-4),,Brass,,C-4,48,4,0,0.99,0.006,0.648,,,0.0,380.4
51,33,50,"Synth Brass 1, Modulated (C-3)",,Brass,,C-3,36,3,0,0.983,0.005,0.643,,,0.0,242.4
52,34,51,"Synth Brass 1, Modulated (C-4)",,Brass,,C-4,48,4,0,0.572,0.005,0.376,,,0.0,391.6
53,35,52,"Synth Brass 1, Modulated (C-5)",,Brass,,C-5,60,5,0,0.788,0.015,0.524,,,0.0,914.4
54,36,53,Empty,,Silence,,,,,1,,,,,,,
55,37,54,Empty,,Silence,,,,,1,,,,,,,
56,38,55,Empty,,Silence,,,,,1,,,,,,,
57,39,56,"Cymbal Hit (A-3, Orchestra Kit)",,Percussion,,,,,0,,,,,,,
58,3A,57,"Cymbal Hit (B-3, Orchestra Kit)",,Percussion,,,,,0,,,,,,,
59,3B,58,Vibraphone (C-3),,Bell/Perc,,C-3,36,3,0,,,,,,,
60,3C,59,French Horns (C-2),,Brass,,C-2,24,2,0,0.955,0.004,0.624,,,0.0,307.5
61,3D,60,French Horns (C-3),,Brass,,C-3,36,3,0,0.763,0.005,0.5,,,0.0,196.9
62,3E,61,French Horns (C-4),,Brass,,C-4,48,4,0,0.529,0.012,0.353,,,0.001,517.7
63,3F,62,French Horns (C-5),,Brass,,C-5,60,5,0,0.699,0.07,0.507,,,0.014,1283.7
64,40,63,Timpani (C-3),,Percussion,,C-3,36,3,0,0.963,0.006,0.631,,,0.0,490.5
65,41,64,Pizzicato (C-4),,Strings,,C-4,48,4,0,,,,,,,
66,42,65,Timpani (C-2),,Percussion,,C-2,24,2,0,1.055,0.005,0.689,,,0.0,74.9
67,43,66,Tubular Bells (C-5),,Bell/Perc,,C-5,60,5,0,,,,,,,
68,44,67,Clarinet (C-3),,Woodwind,,C-3,36,3,0,0.879,0.007,0.576,,,0.0,522.8
69,45,68,Empty,,Silence,,,,,1,,,,,,,
70,46,69,Clarinet (C-4),,Woodwind,,C-4,48,4,0,0.0,0.0,0.0,,,0.0,0.0
