group_key,played_sample_id
slap_bass,20
slap_bass,21
slap_bass,22
slap_bass,23
slap_bass,24
trumpet,25
trumpet,26
bassoon,29
bassoon,30
bassoon,31
bassoon,47
bassoon,48
trombone,49
trombone,50
trombone,51
trombone,80
trombone,81
trombone,82
trombone,83
trombone,84
synth_brass,52
synth_brass,53
synth_brass,54
french_horn,61
french_horn,62
french_horn,63
french_horn,64
french_horn,75
french_horn,76
french_horn,77
french_horn,78
french_horn,79
clarinet,69
clarinet,71
clarinet,72
timpani,65
timpani,67
struck_string,39
struck_string,40
struck_string,41
struck_string,42
struck_string,43
synth_str,85
synth_str,86
synth_str,87
synth_str,88
synth_str,89
synth_str,90
synth_str1,90
synth_str1,91
synth_str1,92
synth_str1,93
synth_str1,94
string_open,144
string_open,145
string_open,146
string_open,147
string_open,148
string_open,149
vibrato_str,156
vibrato_str,157
vibrato_str,158
vibrato_str,159
vibrato_str,160
tuba,8
tuba,44
tuba,45
